cuando te hayas consolado te alegrarás de haberme conocido	El principito - Antoine de Saint-Exupery.epub
Quien no es capaz de desprenderse de un tesoro en un momento de necesidad es como un esclavo encadenado	Las_dos_torres_J_R_R_Tolkien.epub
Mientras el corazón late, mientras el cuerpo y alma siguen juntos, no puedo admitir que cualquier criatura dotada de voluntad tiene necesidad de perder la esperanza en la vida	viaje_al_centro_de_la_tierra.epub
¡Qué maravilloso es que nadie necesite esperar ni un solo momento antes de comenzar a mejorar el mundo!	El diario de Ana Frank - Anne Frank.epub
No existe el bien, ni el mal, solo hay poder y personas demasiado débiles para buscarlo	Harry Potter y la piedra filoso - J.K. Rowling.epub
Nunca es demasiado tarde para ser sabio	Robinson Crusoe - Daniel Defoe.epub
El hombre llega mucho más lejos para evitar lo que teme que para alcanzar lo que desea	El Codigo Da Vinci - Dan Brown (13).epub
No todos los que vagan están perdidos	El hobbit - J. R. R. Tolkien.epub
Solo después de haberlo perdido todo, somos libres de hacer cualquier cosa	El Club de la Lucha - Chuck Palahniuk.epub
El hombre razonable se adapta al mundo: el hombre no razonable persiste en intentar adaptar el mundo a sí mismo. Por tanto, todo progreso depende del hombre no razonable.	Hombre y superhombre - George Bernard Shaw (4).epub
La memoria del corazón elimina los malos recuerdos y magnifica los buenos, y que gracias a ese artilugio logramos sobrellevar el pasado	El amor en los tiempos del colera - Gabriel Garcia Marquez.epub
Cuando sientas deseos de criticar a alguien, recuerda que no todo el mundo ha tenido las mismas oportunidades que tú tuviste	El Gran Gatsby - Francis Scott Fitzgerald.epub
Era el mejor de los tiempos, era el peor de los tiempos, era la edad de la sabiduría, era la edad de la insensatez, era la época de la creencia, era la época de la incredulidad, era la estación de la luz, era la estación de la oscuridad, era la primavera de la esperanza, era el invierno de la desesperación	historia_de_dos_ciudades.epub
Resulta extraño pensar que, cuando uno teme algo que va a ocurrir y quisiera que el tiempo empezara a pasar más despacio, el tiempo suele pasar más deprisa	Harry Potter y el caliz de fueg - J.K. Rowling.epub
Nunca confíes en algo que pueda pensar por sí mismo si no puedes ver dónde guarda su cerebro	Harry Potter y la camara secret - J.K. Rowling.epub
Requiere mucha valentía enfrentarse a nuestros enemigos, pero requiere mucha más enfrentarse a los amigos	Harry Potter y la piedra filoso - J.K. Rowling.epub
Para una mente organizada, la muerte no es sino otra gran aventura	Harry Potter y la piedra filoso - J.K. Rowling.epub
Si quieres saber cómo es un hombre, mira como trata a sus inferiores, no a sus iguales	Harry Potter y el caliz de fueg - J.K. Rowling.epub
Cierto que casi siempre se encuentra algo, si se mira, pero no siempre es lo que uno busca	El hobbit - J. R. R. Tolkien.epub
Generaciones y generaciones han desempeñado trabajos que odiaban para poder comprar cosas que en realidad no necesitan	El Club de la Lucha - Chuck Palahniuk.epub
El problema del matrimonio es que se acaba todas las noches después de hacer el amor, y hay que volver a reconstruirlo todas las mañanas antes del desayuno	El amor en los tiempos del colera - Gabriel Garcia Marquez.epub
Lo único que me duele de morir, es que no sea de amor	El amor en los tiempos del colera - Gabriel Garcia Marquez.epub
Cuanto más cercana a la verdad, mejor será la mentira, y la misma verdad, cuando puede utilizarse, es la mejor mentira	Los límites de la Fundación - Isaac Asimov.epub
el avance de la civilización no es más que un ejercicio en la limitación de la intimidad.	Los límites de la Fundación - Isaac Asimov.epub
Las normas establecidas con razón y con justicia, pueden dejar de ser útiles al cambiar las circunstancias, pero al permitir que continúen vigentes por la fuerza de la inercia, entonces, no sólo es justo, sino también útil, quebrantar aquellas que nos anuncian el hecho de que son inútiles, o incluso realmente perjudiciales.	Fundación y Tierra - Isaac Asimov.epub
Si usted quiere decir que la verdad es imposible está en su derecho; pero no le llevará a ninguna parte	Fundación y Tierra - Isaac Asimov.epub
Usted puede decirme muchas cosas, profesor, pero yo no estoy obligado a creer en ellas.	Hacia la Fundación - Isaac Asimov.epub
La consciente e inteligente manipulación de los hábitos organizados y las opiniones de las masas es un elemento importante de la sociedad democrática	Tiempos recios. Mario Vargas Llosa.epub.epub
